feature,coefficient,p_value
RMW,6.140109361070702,
Rolling_Mean_5,4.891040730568757,
CMA,3.2226880412513017,
Mkt_RF,2.3960069129137733,
SMB,-2.041296901789399,
HML,-1.243361796497365,
Volatility_10,0.9026006217132841,
Mom,-0.8640957294802746,
Bullish_Trend_Signal,0.04958180217316208,
Industrial_Production,-0.035806469063380225,
Lag1_Return,0.03437233942693236,
BBP_5_2.0,-0.027139201849358967,
Yield_Spread,0.023086792092258446,
RSI_14,-0.0167971542640895,
Unemployment_Rate,-0.0163687816754822,
