Date,Unemployment_Rate,CPI,Money_Supply_M2,Industrial_Production,Federal_Funds_Rate,Yield_Spread,VIX,ADS_Index,Mkt_RF,SMB,HML,RiskFree,Mom,Close,High,Low,Open,Volume,SMA_14,EMA_14,RSI_14,MACD,MACD_hist,MACD_signal,OBV,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,CDL_DOJI,CDL_HAMMER,CDL_ENGULFING,LogReturn,Target,Lag1_Close,Lag1_Return,Lag1_RSI_14,Lag1_Volume,Lag1_OBV,Volatility_10,Rolling_Mean_5,Momentum_5,MACD_Diff,RSI_OBV_Interaction,Bullish_Trend_Signal,DayOfWeek,Month
2020-01-01,3.6,259.127,15416.8,101.3372,1.55,,,-0.311556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,0.34,12.47,-0.299875,0.0086,-0.0088,-0.0033,6e-05,0.008199999999999999,208.79592895507812,208.80587657807078,205.30239969610878,205.780143782338,12077100.0,,,,,,,12077100.0,,,,,,0.0,0.0,0.0,,-0.005305253199483834,,,,,,,,,,,0.0,3.0,1.0
2020-01-03,,,,,,0.28,14.02,-0.28812,-0.0067,0.0038,0.0,6e-05,0.0004,207.69114685058594,209.41302733101944,205.97921399369764,206.238004077988,11188400.0,,,,,,,888700.0,,,,,,0.0,0.0,0.0,-0.005305253199483834,0.018658387201439162,208.79592895507812,,,12077100.0,12077100.0,,,,,,0.0,4.0,1.0
2020-01-04,,,,,,,,-0.276287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,-0.264372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,0.25,13.85,-0.252822,0.0036,-0.0007000000000000001,-0.0055000000000000005,6e-05,-0.0069,211.6027069091797,211.78185524561292,205.55122615410616,205.7303744905394,17058900.0,,,,,,,17947600.0,,,,,,0.0,0.0,0.0,0.018658387201439162,0.002161339884731324,207.69114685058594,-0.005305253199483834,,11188400.0,888700.0,,,,,,0.0,0.0,1.0
2020-01-07,,,,,,0.29,13.79,-0.241632,-0.0019,-0.0001,-0.0025,6e-05,0.0001,212.060546875,213.57342090562022,210.75669443031993,211.82168241930964,14912400.0,,,,,,,32860000.0,,,,,,0.0,0.0,0.0,0.002161339884731324,0.010086964528737362,211.6027069091797,0.018658387201439162,,17058900.0,17947600.0,,,,,,0.0,1.0,1.0
2020-01-08,,,,,,0.33,13.45,-0.230798,0.004699999999999999,-0.0005,-0.0066,6e-05,0.0092,214.21041870117188,215.22563820234075,211.61266142776498,212.00083135656322,13475000.0,,,,,,,46335000.0,206.18007009235825,210.8721496582031,215.56422922404798,4.4501652526899615,0.8557344878877461,0.0,0.0,0.0,0.010086964528737362,0.014209572149888293,212.060546875,0.002161339884731324,,14912400.0,32860000.0,,,,,,0.0,2.0,1.0
2020-01-09,,,,,,0.31,12.54,-0.220315,0.006500000000000001,-0.0064,-0.0048,6e-05,0.0073,217.27598571777344,217.35561227049277,215.26545702644307,216.51954106054566,12642800.0,,,,,,,58977800.0,206.25400772496977,212.5681610107422,218.8823142965146,5.9408269382857695,0.8727993678613502,0.0,0.0,0.0,0.014209572149888293,-0.0011000894826652709,214.21041870117188,0.010086964528737362,,13475000.0,46335000.0,,0.00796220211306246,8.480056762695312,,,0.0,3.0,1.0
2020-01-10,,,,,,0.29,12.56,-0.21018,-0.0034000000000000002,-0.0019,-0.0033,6e-05,0.0019,217.03709411621094,218.848563919665,216.40009691672174,218.17174585240141,12119400.0,,,,,,,46858400.0,209.65802711680232,214.43735046386718,219.21667381093204,4.457547471768617,0.7719782136042699,0.0,0.0,0.0,-0.0011000894826652709,0.01750163911840204,217.27598571777344,0.014209572149888293,,12642800.0,58977800.0,,0.008803234856426175,9.345947265625,,,0.0,4.0,1.0
2020-01-11,,,,,,,,-0.200389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,-0.190937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,0.28,12.32,-0.180426,0.0073,-0.0011,-0.0008,6e-05,0.006500000000000001,220.86903381347656,220.92874992622083,218.1817024295088,218.56987234955736,14463400.0,,,,,,,61321800.0,210.30992703237297,216.29061584472657,222.27130465708018,5.530234207338054,0.8827667775735872,0.0,0.0,0.0,0.01750163911840204,-0.012926198737118874,217.03709411621094,-0.0011000894826652709,,12119400.0,46858400.0,,0.00857188523981875,9.266326904296875,,,0.0,0.0,1.0
2020-01-14,,,,,,0.25,12.39,-0.168852,-0.0006,0.0039000000000000003,-0.0018,6e-05,-0.0092,218.03240966796875,221.33684317971068,217.60443404355067,220.5704509179999,13288900.0,,,,,,,48032900.0,213.22179415222058,217.4849884033203,221.74818265442002,3.9204492065390144,0.5642031810428575,0.0,0.0,0.0,-0.012926198737118874,0.009495419824024435,220.86903381347656,0.01750163911840204,,14463400.0,61321800.0,,0.005554377515448711,5.97186279296875,,,0.0,1.0,1.0
2020-01-15,,,,,,0.22,12.42,-0.15621,0.0016,0.0046,-0.008100000000000001,6e-05,0.0014000000000000002,220.11257934570312,220.64009190089547,219.1073227227764,219.5751191679032,10036500.0,,,,,,,58069400.0,215.5757138924682,218.66542053222656,221.75512717198492,2.8259672994825493,0.7341903264948386,0.0,0.0,0.0,0.009495419824024435,0.0027997625851426886,218.03240966796875,-0.012926198737118874,,13288900.0,48032900.0,,0.005436068574506125,5.90216064453125,,,0.0,2.0,1.0
2020-01-16,,,,,,0.26,12.32,-0.142496,0.0088,0.0052,-0.0012,6e-05,0.0015,220.72970581054688,221.58567225354054,219.35617437738657,221.52595613683127,10015300.0,,,,,,,68084700.0,216.27357252321087,219.35616455078124,222.43875657835162,2.8105816254429876,0.7227899844482867,0.0,0.0,0.0,0.0027997625851426886,0.001666965325248784,220.11257934570312,0.009495419824024435,,10036500.0,58069400.0,0.010264752837754822,0.003154106661557003,3.4537200927734375,,,0.0,3.0,1.0
2020-01-17,,,,,,0.28,12.1,-0.127703,0.0028000000000000004,-0.0064,-0.0013,6e-05,0.0086,221.09796142578125,221.24725171492378,219.49551317773475,220.9884768180062,15905900.0,,,,,,,83990600.0,217.9348462132664,220.1683380126953,222.4018298121242,2.028894635431279,0.708109878290947,100.0,0.0,0.0,0.001666965325248784,-0.003156141060342268,220.72970581054688,0.0027997625851426886,,10015300.0,68084700.0,0.009664096797401983,0.0037075176231398145,4.0608673095703125,,,0.0,4.0,1.0
2020-01-18,,,,,,,,-0.111827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,-0.0948598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,,,,,,,,-0.0779001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,,,,,,0.22,12.85,-0.0609411,-0.0032,-0.0051,-0.0062,6e-05,0.008100000000000001,220.4012451171875,221.32687527177663,218.0921207616,221.11786886980354,14275800.0,,,,,,,69714800.0,217.9290658686172,220.0747802734375,222.22049467825784,1.9499866383184181,0.5760736943874238,0.0,0.0,-100.0,-0.003156141060342268,-0.0005420939390116845,221.09796142578125,0.001666965325248784,,15905900.0,83990600.0,0.008992018157066888,-0.0004240384126090473,-0.4677886962890625,,,0.0,1.0,1.0
